"Phase Number","Start Time","Request Type","Latency","Response Code"
"1","1645469483719","POST","1536","201"
"1","1645469483674","POST","1581","201"
"1","1645469483697","POST","1558","201"
"1","1645469483682","POST","1573","201"
"1","1645469483718","POST","1537","201"
"1","1645469483720","POST","1535","201"
"1","1645469483674","POST","1582","201"
"1","1645469483717","POST","1539","201"
"1","1645469483719","POST","1539","201"
"1","1645469483683","POST","1575","201"
"1","1645469483720","POST","1538","201"
"1","1645469483682","POST","1576","201"
"1","1645469483716","POST","1542","201"
"1","1645469483716","POST","1543","201"
"1","1645469483720","POST","1537","201"
"1","1645469485256","POST","78","201"
"1","1645469485256","POST","79","201"
"1","1645469485256","POST","84","201"
"1","1645469485255","POST","86","201"
"1","1645469485255","POST","86","201"
"1","1645469485255","POST","86","201"
"1","1645469485258","POST","84","201"
"1","1645469485256","POST","87","201"
"1","1645469485258","POST","87","201"
"1","1645469485258","POST","87","201"
"1","1645469485259","POST","88","201"
"1","1645469485258","POST","151","201"
"1","1645469485260","POST","151","201"
"1","1645469485258","POST","154","201"
"1","1645469485334","POST","78","201"
"1","1645469485335","POST","80","201"
"1","1645469485256","POST","167","201"
"1","1645469485340","POST","85","201"
"1","1645469485341","POST","89","201"
"1","1645469485341","POST","90","201"
"1","1645469485342","POST","89","201"
"1","1645469485341","POST","91","201"
"1","1645469485345","POST","89","201"
"1","1645469485345","POST","89","201"
"1","1645469485343","POST","92","201"
"1","1645469485348","POST","88","201"
"1","1645469485410","POST","76","201"
"1","1645469485411","POST","76","201"
"1","1645469485412","POST","79","201"
"1","1645469485412","POST","80","201"
"1","1645469485415","POST","79","201"
"1","1645469485424","POST","90","201"
"1","1645469485425","POST","90","201"
"1","1645469485430","POST","85","201"
"1","1645469485431","POST","87","201"
"1","1645469485432","POST","88","201"
"1","1645469485436","POST","86","201"
"1","1645469485434","POST","89","201"
"1","1645469485435","POST","88","201"
"1","1645469485434","POST","90","201"
"1","1645469485431","POST","95","201"
"1","1645469485487","POST","78","201"
"1","1645469485486","POST","79","201"
"1","1645469485491","POST","79","201"
"1","1645469485492","POST","81","201"
"1","1645469485495","POST","82","201"
"1","1645469485514","POST","83","201"
"1","1645469485515","POST","84","201"
"1","1645469485515","POST","84","201"
"1","1645469485518","POST","87","201"
"1","1645469485520","POST","85","201"
"1","1645469485522","POST","85","201"
"1","1645469485523","POST","85","201"
"1","1645469485523","POST","85","201"
"1","1645469485524","POST","88","201"
"1","1645469485526","POST","88","201"
"1","1645469485565","POST","78","201"
"1","1645469485565","POST","78","201"
"1","1645469485570","POST","82","201"
"1","1645469485577","POST","82","201"
"1","1645469485573","POST","86","201"
"1","1645469485597","POST","83","201"
"1","1645469485599","POST","83","201"
"1","1645469485599","POST","86","201"
"1","1645469485605","POST","84","201"
"1","1645469485605","POST","84","201"
"1","1645469485608","POST","84","201"
"1","1645469485607","POST","87","201"
"1","1645469485608","POST","87","201"
"1","1645469485612","POST","87","201"
"1","1645469485614","POST","86","201"
"1","1645469485643","POST","77","201"
"1","1645469485643","POST","77","201"
"1","1645469485652","POST","78","201"
"1","1645469485659","POST","78","201"
"1","1645469485659","POST","80","201"
"1","1645469485680","POST","84","201"
"1","1645469485683","POST","82","201"
"1","1645469485685","POST","83","201"
"1","1645469485689","POST","85","201"
"1","1645469485689","POST","85","201"
"1","1645469485692","POST","85","201"
"1","1645469485695","POST","84","201"
"1","1645469485694","POST","86","201"
"1","1645469485699","POST","86","201"
"1","1645469485700","POST","85","201"
"1","1645469485720","POST","76","201"
"1","1645469485720","POST","76","201"
"1","1645469485730","POST","77","201"
"1","1645469485737","POST","77","201"
"1","1645469485739","POST","78","201"
"1","1645469485764","POST","83","201"
"1","1645469485765","POST","83","201"
"1","1645469485768","POST","84","201"
