"Phase Number","Start Time","Request Type","Latency","Response Code"
"1","1645469577309","POST","1605","201"
"1","1645469577338","POST","1576","201"
"1","1645469577338","POST","1576","201"
"1","1645469577309","POST","1605","201"
"1","1645469577365","POST","1549","201"
"1","1645469577338","POST","1576","201"
"1","1645469577440","POST","1474","201"
"1","1645469577407","POST","1507","201"
"1","1645469577384","POST","1530","201"
"1","1645469577409","POST","1506","201"
"1","1645469577366","POST","1549","201"
"1","1645469577337","POST","1578","201"
"1","1645469577440","POST","1475","201"
"1","1645469577399","POST","1520","201"
"1","1645469577406","POST","1514","201"
"1","1645469577309","POST","1618","201"
"1","1645469577409","POST","1518","201"
"1","1645469577412","POST","1516","201"
"1","1645469577339","POST","1589","201"
"1","1645469577322","POST","1606","201"
"1","1645469577411","POST","1517","201"
"1","1645469577365","POST","1564","201"
"1","1645469577308","POST","1621","201"
"1","1645469577340","POST","1590","201"
"1","1645469577412","POST","1518","201"
"1","1645469577338","POST","1592","201"
"1","1645469577363","POST","1567","201"
"1","1645469577367","POST","1563","201"
"1","1645469577377","POST","1553","201"
"1","1645469577398","POST","1533","201"
"1","1645469577309","POST","1622","201"
"1","1645469577389","POST","1542","201"
"1","1645469577397","POST","1535","201"
"1","1645469577440","POST","1493","201"
"1","1645469577320","POST","1613","201"
"1","1645469577364","POST","1570","201"
"1","1645469577322","POST","1612","201"
"1","1645469577398","POST","1536","201"
"1","1645469577406","POST","1529","201"
"1","1645469577309","POST","1626","201"
"1","1645469577321","POST","1593","201"
"1","1645469577418","POST","1518","201"
"1","1645469577322","POST","1614","201"
"1","1645469577322","POST","1615","201"
"1","1645469577429","POST","1509","201"
"1","1645469577319","POST","1619","201"
"1","1645469577362","POST","1577","201"
"1","1645469577401","POST","1539","201"
"1","1645469577412","POST","1529","201"
"1","1645469577362","POST","1579","201"
"1","1645469577365","POST","1577","201"
"1","1645469577323","POST","1620","201"
"1","1645469577308","POST","1636","201"
"1","1645469577338","POST","1606","201"
"1","1645469577364","POST","1581","201"
"1","1645469577309","POST","1636","201"
"1","1645469577439","POST","1506","201"
"1","1645469577337","POST","1609","201"
"1","1645469577439","POST","1509","201"
"1","1645469577402","POST","1547","201"
"1","1645469577331","POST","1627","201"
"1","1645469577366","POST","1592","201"
"1","1645469577320","POST","1639","201"
"1","1645469578914","POST","90","201"
"1","1645469578915","POST","92","201"
"1","1645469578928","POST","80","201"
"1","1645469578929","POST","79","201"
"1","1645469578914","POST","94","201"
"1","1645469578915","POST","93","201"
"1","1645469578930","POST","79","201"
"1","1645469578930","POST","80","201"
"1","1645469578930","POST","81","201"
"1","1645469578928","POST","83","201"
"1","1645469578931","POST","80","201"
"1","1645469578930","POST","81","201"
"1","1645469578932","POST","79","201"
"1","1645469578933","POST","78","201"
"1","1645469578936","POST","77","201"
"1","1645469578928","POST","86","201"
"1","1645469578915","POST","100","201"
"1","1645469578914","POST","103","201"
"1","1645469578929","POST","88","201"
"1","1645469578939","POST","78","201"
"1","1645469578930","POST","89","201"
"1","1645469578934","POST","85","201"
"1","1645469578920","POST","100","201"
"1","1645469578935","POST","85","201"
"1","1645469578935","POST","85","201"
"1","1645469578914","POST","106","201"
"1","1645469578942","POST","78","201"
"1","1645469578927","POST","94","201"
"1","1645469578936","POST","86","201"
"1","1645469578927","POST","95","201"
"1","1645469578943","POST","81","201"
"1","1645469578938","POST","86","201"
"1","1645469578919","POST","105","201"
"1","1645469578944","POST","80","201"
"1","1645469578945","POST","81","201"
"1","1645469578946","POST","80","201"
"1","1645469578945","POST","82","201"
"1","1645469578940","POST","87","201"
"1","1645469578914","POST","114","201"
"1","1645469578941","POST","88","201"
"1","1645469578915","POST","115","201"
"1","1645469578944","POST","87","201"
"1","1645469578914","POST","120","201"
"1","1645469578931","POST","103","201"
"1","1645469578945","POST","89","201"
"1","1645469578938","POST","98","201"
"1","1645469578941","POST","96","201"
"1","1645469578948","POST","89","201"
"1","1645469578949","POST","88","201"
"1","1645469578932","POST","106","201"
"1","1645469578936","POST","102","201"
